departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad
CAUCA,PIENDAMO,19548000,NO REPORTADO,25/06/2025,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,GUADUAS,25320000,NO REPORTADO,21/07/2025,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,FUNZA,25286000,NO REPORTADO,23/01/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,MEDELLIN (CT),5001000,NO REPORTADO,24/02/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,CAJIBIO,19130000,NO REPORTADO,16/03/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,CURUMANI,20228000,NO REPORTADO,30/09/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOYACA,PUERTO BOYACA,15572000,NO REPORTADO,17/04/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOYACA,PUERTO BOYACA,15572000,NO REPORTADO,09/04/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOYACA,PUERTO BOYACA,15572000,NO REPORTADO,13/06/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOYACA,PUERTO BOYACA,15572000,NO REPORTADO,12/05/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,PUERTO BERRIO,5579000,NO REPORTADO,04/12/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
SANTANDER,CIMITARRA,68190000,NO REPORTADO,22/05/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,GRANADA,25312000,NO REPORTADO,25/11/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,CURUMANI,20228000,NO REPORTADO,21/07/2015,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,BOSCONIA,20060000,NO REPORTADO,21/07/2015,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,BOSCONIA,20060000,NO REPORTADO,25/09/2015,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,YOTOCO,76890000,NO REPORTADO,21/11/2015,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,COCORNA,5197000,NO REPORTADO,24/12/2015,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,TOCANCIPA,25817009,NO REPORTADO,25/03/2023,,ADULTOS,HURTO ENTIDADES FINANCIERAS,1
CASANARE,SAN LUIS DE PALENQUE,85325000,ARMA BLANCA / CORTOPUNZANTE,13/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,YOPAL (CT),85001000,ARMA BLANCA / CORTOPUNZANTE,27/11/2024,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,NEIVA (CT),41001000,ARMA BLANCA / CORTOPUNZANTE,22/02/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CORDOBA,CHINU,23182000,ARMA BLANCA / CORTOPUNZANTE,19/01/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,MANI,85139000,ARMA BLANCA / CORTOPUNZANTE,22/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,RIVERA,41615000,ARMA BLANCA / CORTOPUNZANTE,20/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,GUACHENE,19300000,ARMA BLANCA / CORTOPUNZANTE,21/05/2024,FEMENINO,ADULTOS,HURTO ABIGEATO,1
META,SAN MARTIN,50689000,ARMA BLANCA / CORTOPUNZANTE,27/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
NORTE DE SANTANDER,DURANIA,54239000,ARMA BLANCA / CORTOPUNZANTE,07/07/2024,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CESAR,SAN DIEGO,20750001,ARMA BLANCA / CORTOPUNZANTE,16/02/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,SAN DIEGO,20750009,ARMA BLANCA / CORTOPUNZANTE,07/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,PUERTO LOPEZ,50573000,ARMA BLANCA / CORTOPUNZANTE,02/04/2025,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CORDOBA,SAHAGUN,23660000,ARMA BLANCA / CORTOPUNZANTE,01/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,PUERTO GAITAN,50568000,ARMA BLANCA / CORTOPUNZANTE,03/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,PUERTO GAITAN,50568000,ARMA BLANCA / CORTOPUNZANTE,04/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACA,FIRAVITOBA,15272000,ARMA BLANCA / CORTOPUNZANTE,19/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,VALLEDUPAR (CT),20001000,ARMA BLANCA / CORTOPUNZANTE,16/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,RIVERA,41615000,ARMA BLANCA / CORTOPUNZANTE,24/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,MACEO,5425000,ARMA BLANCA / CORTOPUNZANTE,08/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,GRANADA,50313000,ARMA BLANCA / CORTOPUNZANTE,24/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,SAN JUANITO,50686000,ARMA BLANCA / CORTOPUNZANTE,18/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,CASTILLA LA NUEVA,50150000,ARMA BLANCA / CORTOPUNZANTE,17/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,CASTILLA LA NUEVA,50150000,ARMA BLANCA / CORTOPUNZANTE,11/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,PUERTO GAITAN,50568000,ARMA BLANCA / CORTOPUNZANTE,22/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,AIPE,41016000,ARMA BLANCA / CORTOPUNZANTE,15/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,VALLEDUPAR (CT),20001037,ARMA BLANCA / CORTOPUNZANTE,24/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,BECERRIL,20045000,ARMA BLANCA / CORTOPUNZANTE,11/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,PUERTO BERRIO,5579000,ARMA BLANCA / CORTOPUNZANTE,04/02/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,PUERTO GAITAN,50568000,ARMA BLANCA / CORTOPUNZANTE,26/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,PUERTO GAITAN,50568000,ARMA BLANCA / CORTOPUNZANTE,30/04/2025,FEMENINO,ADULTOS,HURTO ABIGEATO,1
META,VILLAVICENCIO (CT),50001000,ARMA BLANCA / CORTOPUNZANTE,24/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,PIEDRAS,73547000,ARMA BLANCA / CORTOPUNZANTE,20/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,ALVARADO,73026000,ARMA BLANCA / CORTOPUNZANTE,01/05/2025,FEMENINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,ALVARADO,73026000,ARMA BLANCA / CORTOPUNZANTE,16/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,ALVARADO,73026000,ARMA BLANCA / CORTOPUNZANTE,31/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,PIEDRAS,73547002,ARMA BLANCA / CORTOPUNZANTE,07/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,ALVARADO,73026000,ARMA BLANCA / CORTOPUNZANTE,08/02/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,VALLEDUPAR (CT),20001000,ARMA BLANCA / CORTOPUNZANTE,10/02/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,ALVARADO,73026000,ARMA BLANCA / CORTOPUNZANTE,31/01/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,NEIVA (CT),41001000,ARMA BLANCA / CORTOPUNZANTE,13/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,AGUAZUL,85010000,ARMA BLANCA / CORTOPUNZANTE,14/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,MAPIRIPAN,50325000,ARMA BLANCA / CORTOPUNZANTE,08/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACA,PAIPA,15516000,ARMA BLANCA / CORTOPUNZANTE,20/04/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,TAURAMENA,85410000,ARMA BLANCA / CORTOPUNZANTE,19/05/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,BARRANCABERMEJA,68081000,ARMA BLANCA / CORTOPUNZANTE,21/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,RIVERA,41615000,ARMA BLANCA / CORTOPUNZANTE,27/03/2025,MASCULINO,ADULTOS,HURTO ABIGEATO,1
